timeStamop, method, fileName, #c, #parking, #mm, #sev, time, objValue, gap
03-02-2026-01-26,c,"ci5-6,4,30",30,9,5,7,159.24395489692688,579.9707935069298,/
03-02-2026-01-26,c,"cf1-6,4,15",15,9,5,3,72.20776510238647,434.29551490783285,/
03-02-2026-01-26,bp,"cg4-3,5,15",15,7,4,3,182.13825297355652,348.69738810744246,/
03-02-2026-01-26,c,"ce2-6,4,15",15,9,5,3,15.892786026000977,416.41796001933767,/
03-02-2026-01-27,bp,"cf1-6,4,30",30,9,5,6,163.79327011108398,664.6438825392979,/
03-02-2026-01-27,bp,"ce2-3,5,30",30,7,4,6,70.85309219360352,597.6308698529624,/
03-02-2026-01-27,c,"ce5-6,4,30",30,9,5,6,81.09722089767456,531.1841594105867,/
03-02-2026-01-27,c,"ce1-2,3,30",30,4,2,7,23.37990403175354,614.8542627593883,/
03-02-2026-01-27,bp,"cg3-6,4,30",30,9,5,6,190.5617139339447,606.3206497607028,/
03-02-2026-01-27,c,"ci2-6,4,30",30,9,5,6,159.80050683021545,618.4588781659273,/
03-02-2026-01-27,bp,"ce3-6,4,15",15,9,5,3,78.79816198348999,449.46689104833126,/
03-02-2026-01-27,c,"ce1-3,5,30",30,7,4,6,29.96919894218445,559.2960743741348,/
03-02-2026-01-27,c,"ce3-6,4,15",15,9,5,3,30.73557996749878,425.37973631976934,/
03-02-2026-01-27,c,"ce1-6,4,15",15,9,5,3,31.167110919952393,423.66545885005064,/
03-02-2026-01-27,c,"ce2-2,3,30",30,4,2,8,34.681100845336914,604.4309836608294,/
03-02-2026-01-27,bp,"ce4-6,4,30",30,9,5,6,229.10634779930115,605.2906406258311,/
03-02-2026-01-27,c,"cg3-2,3,30",30,4,2,7,216.86872696876526,585.992562434956,/
03-02-2026-01-27,c,"ce3-2,3,30",30,4,2,8,45.8429811000824,625.3372168825175,/
03-02-2026-01-27,c,"ce3-3,5,30",30,7,4,6,45.94578409194946,572.1298211697455,/
03-02-2026-01-27,c,"cf5-2,3,30",30,4,2,6,229.32827496528625,580.4682453344687,/
03-02-2026-01-27,c,"ci1-6,4,30",30,9,5,6,182.8751518726349,617.6992086027003,/
03-02-2026-01-27,bp,"ce3-6,4,30",30,9,5,6,110.83454895019531,580.8337492983572,/
03-02-2026-01-27,bp,"ci3-6,4,30",30,9,5,6,200.88320398330688,584.2233219633831,/
03-02-2026-01-27,bp,"ce2-3,5,50",50,7,4,10,115.62992095947266,744.2567569900916,/
03-02-2026-01-27,c,"cf1-3,5,30",30,7,4,6,124.99067306518555,572.9154264161896,/
03-02-2026-01-27,bp,"ce2-2,3,20",20,4,2,5,117.52179098129272,432.62012482485454,/
03-02-2026-01-27,bp,"ce2-6,4,30",30,9,5,6,119.04334783554077,649.1655224232866,/
03-02-2026-01-27,bp,"cf3-3,5,30",30,7,4,6,214.6866159439087,582.4020819372067,/
03-02-2026-01-28,c,"ce4-3,5,30",30,7,4,6,141.55640983581543,574.1503614326468,/
03-02-2026-01-28,c,"cf5-6,4,30",30,9,5,6,275.05240297317505,543.3347727069486,/
03-02-2026-01-28,bp,"cg1-2,3,30",30,4,2,6,288.82426404953003,548.7775245870073,/
03-02-2026-01-28,c,"ce3-6,4,30",30,9,5,6,96.72182178497314,573.7404376310255,/
03-02-2026-01-28,c,"cf4-3,5,30",30,7,4,6,283.70817399024963,562.4202634777153,/
03-02-2026-01-28,c,"cf2-6,4,30",30,9,5,5,286.3866698741913,612.4595522052244,/
03-02-2026-01-28,c,"cg3-6,4,30",30,9,5,6,290.1100559234619,579.0901607069694,/
03-02-2026-01-28,c,"ci3-2,3,50",50,4,2,12,269.0819458961487,901.570756640499,/
03-02-2026-01-28,c,"cg1-3,5,30",30,7,4,7,303.4408860206604,563.3150852210256,/
03-02-2026-01-28,bp,"cg2-2,3,20",20,4,2,5,317.1781041622162,459.6641816792321,/
03-02-2026-01-28,c,"ce2-6,4,30",30,9,5,6,134.36987400054932,617.2864918448931,/
