id,parent,Depth,cgLowerBound,FS,rdtCG,rdtFS,Child,Child,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,730.311,9.458,0.347,0.821,23,24,4-22-4 = 1.0,8-33-8 = 0.5,5-38-5 = 0.051,8-39-8 = 0.5,5-42-5 = 1.0,7-31-52-29-19-8 = 0.444,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.444,7-52-29-37-7 = 0.556,7-31-21-26-36-7 = 0.556,8-33-23-39-8 = 0.5,8-12-47-11-8 = 0.889,8-12-9-10-49-8 = 0.111,8-40-44-51-43-4 = 0.5,8-10-49-19-37-7 = 0.444,5-35-56-14-5 = 0.194,5-18-54-34-13-5 = 0.625,5-32-55-14-5 = 0.194,5-38-50-16-5 = 0.072,5-38-41-57-4 = 0.072,5-35-38-5 = 0.806,5-25-58-10-49-8 = 0.111,5-56-55-32-5 = 0.806,5-18-54-13-14-5 = 0.282,5-54-34-13-14-5 = 0.093,5-25-9-46-47-4 = 0.111,5-25-9-10-58-5 = 0.19,5-18-25-9-58-14-5 = 0.093,5-25-9-51-44-4 = 0.171,5-25-9-58-46-4 = 0.324,5-34-58-46-15-4 = 0.171,8-49-51-44-15-4 = 0.079,4-28-15-4 = 0.678,4-17-57-4 = 0.928,4-17-15-28-4 = 0.072,5-34-58-49-19-11-8 = 0.111,4-45-20-28-4 = 0.25,4-45-20-44-43-4 = 0.25,4-51-46-43-4 = 0.25,4-45-20-40-23-8 = 0.5,4-41-50-16-5 = 0.928,8-49-10-46-14-5 = 0.144,8-27-53-8 = 1.0,,,,,,,
23,8,730.437,9.312,0.126,-0.146,25,26,4-22-4 = 1.0,8-33-8 = 0.359,5-38-5 = 0.234,8-39-8 = 0.359,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.562,8-33-39-8 = 0.078,8-12-47-11-8 = 0.875,8-12-9-10-49-8 = 0.125,8-40-44-51-43-4 = 0.562,8-10-49-19-37-7 = 0.5,5-35-56-14-5 = 0.359,5-18-54-34-13-5 = 0.812,5-32-55-14-5 = 0.359,5-38-50-16-5 = 0.062,5-38-41-57-4 = 0.062,5-35-38-5 = 0.641,5-25-58-10-49-8 = 0.125,5-56-55-32-5 = 0.641,5-18-54-13-14-5 = 0.094,5-54-34-13-14-5 = 0.094,5-25-9-10-58-5 = 0.125,5-18-25-9-58-14-5 = 0.094,5-25-9-58-46-4 = 0.656,5-34-51-44-15-4 = 0.094,8-49-10-46-47-8 = 0.125,8-49-51-44-15-4 = 0.125,4-28-15-4 = 0.719,4-17-57-4 = 0.938,4-17-15-28-4 = 0.062,4-45-20-28-4 = 0.219,4-45-20-44-43-4 = 0.219,4-51-46-43-4 = 0.219,4-45-20-40-23-8 = 0.438,4-41-50-16-5 = 0.938,4-45-20-11-8 = 0.125,8-27-53-8 = 1.0,,,,,,,,
26,23,731.245,9.125,0.808,-0.188,27,28,4-22-4 = 1.0,8-33-8 = 0.452,8-39-8 = 0.606,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-11-8 = 0.154,8-33-23-39-8 = 0.394,8-12-47-11-8 = 0.75,8-12-9-10-49-8 = 0.25,8-40-44-51-43-4 = 0.548,8-10-49-19-37-7 = 0.5,5-35-56-14-5 = 0.24,5-18-54-34-13-5 = 0.817,5-32-55-14-5 = 0.24,5-38-50-16-5 = 0.12,5-38-41-57-4 = 0.12,5-35-38-5 = 0.76,5-56-55-32-5 = 0.76,5-18-54-13-14-5 = 0.096,5-54-34-13-14-5 = 0.087,5-25-58-51-14-5 = 0.25,5-18-25-9-58-14-5 = 0.087,5-25-9-58-46-4 = 0.654,5-25-9-58-51-4 = 0.01,5-34-51-44-15-4 = 0.096,8-49-10-46-47-8 = 0.25,4-15-28-4 = 0.784,4-17-57-4 = 0.88,4-17-15-28-4 = 0.12,4-45-20-28-4 = 0.096,4-45-20-44-43-4 = 0.356,4-51-46-43-4 = 0.096,4-45-20-40-23-8 = 0.452,4-41-50-16-5 = 0.88,4-45-20-11-8 = 0.096,8-27-53-8 = 1.0,,,,,,,,,,
27,26,731.254,9.375,0.009,0.25,29,30,4-22-4 = 1.0,8-33-8 = 0.481,8-39-8 = 0.567,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-11-8 = 0.087,8-33-23-39-8 = 0.433,8-12-47-11-8 = 0.875,8-12-9-10-49-8 = 0.125,8-40-44-51-43-4 = 0.519,8-10-49-19-37-7 = 0.5,5-35-56-14-5 = 0.221,5-18-54-34-13-5 = 0.702,5-32-55-14-5 = 0.221,5-38-50-16-5 = 0.111,5-38-41-57-4 = 0.111,5-35-38-5 = 0.779,5-56-55-32-5 = 0.779,5-18-54-13-14-5 = 0.163,5-54-34-13-14-5 = 0.135,5-18-25-9-58-14-5 = 0.135,5-25-9-58-46-4 = 0.587,5-25-9-58-51-4 = 0.154,5-34-51-44-15-4 = 0.163,8-49-10-46-47-8 = 0.125,4-15-28-4 = 0.726,4-17-57-4 = 0.889,4-17-15-28-4 = 0.111,4-45-20-28-4 = 0.163,4-45-20-44-43-4 = 0.317,4-51-46-43-4 = 0.163,4-45-20-40-23-8 = 0.481,4-41-50-16-5 = 0.889,4-25-58-10-49-8 = 0.125,4-45-20-11-8 = 0.038,8-49-10-46-14-5 = 0.125,8-27-53-8 = 1.0,,,,,,,,,
30,27,731.276,9.208,0.022,-0.167,31,32,4-22-4 = 1.0,8-33-8 = 0.333,5-38-5 = 0.333,8-39-8 = 0.333,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.667,8-12-47-11-8 = 0.833,8-12-9-10-49-8 = 0.167,8-40-44-51-43-4 = 0.667,8-10-49-19-37-7 = 0.5,5-35-56-14-5 = 0.375,5-18-54-34-13-5 = 0.792,5-32-55-14-5 = 0.375,5-38-50-16-5 = 0.021,5-38-41-57-4 = 0.021,5-35-38-5 = 0.625,5-56-55-32-5 = 0.625,5-18-54-13-14-5 = 0.167,5-54-34-13-14-5 = 0.042,5-18-25-9-58-14-5 = 0.042,5-25-9-58-46-4 = 0.667,5-25-9-58-15-4 = 0.125,5-34-51-44-15-4 = 0.167,8-49-10-46-47-8 = 0.167,4-15-28-4 = 0.604,4-15-57-4 = 0.042,4-17-57-4 = 0.938,4-17-15-28-4 = 0.062,4-45-20-28-4 = 0.333,4-45-20-44-43-4 = 0.167,4-51-46-43-4 = 0.167,4-45-20-40-23-8 = 0.333,4-41-50-16-5 = 0.979,4-25-58-10-49-8 = 0.167,4-45-20-11-8 = 0.167,8-27-53-8 = 1.0,,,,,,,,,
32,30,731.41,9.659,0.134,0.451,33,34,4-22-4 = 1.0,8-33-8 = 0.386,5-38-5 = 0.205,8-39-8 = 0.386,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.614,8-12-44-15-4 = 0.136,8-12-44-28-4 = 0.023,8-12-47-11-8 = 0.727,8-12-9-10-49-8 = 0.114,8-40-44-51-43-4 = 0.614,8-10-49-19-37-7 = 0.5,5-35-56-14-5 = 0.409,5-18-54-34-13-5 = 0.909,5-32-55-14-5 = 0.409,5-38-50-16-5 = 0.102,5-38-41-57-4 = 0.102,5-35-38-5 = 0.591,5-56-55-32-5 = 0.591,5-54-34-13-14-5 = 0.091,5-18-25-9-58-14-5 = 0.091,5-25-9-58-46-4 = 0.568,5-25-9-58-51-4 = 0.227,8-49-10-46-47-8 = 0.273,4-15-28-4 = 0.761,4-17-57-4 = 0.898,4-17-15-28-4 = 0.102,4-45-20-28-4 = 0.114,4-45-20-44-43-4 = 0.227,4-51-46-43-4 = 0.159,4-45-20-40-23-8 = 0.386,4-41-50-16-5 = 0.898,4-25-58-10-49-8 = 0.114,4-45-20-11-8 = 0.273,8-27-53-8 = 1.0,,,,,,,,,,
34,32,731.94,9.853,0.531,0.194,35,36,4-22-4 = 1.0,8-33-8 = 0.426,8-39-8 = 0.426,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.5,8-33-39-8 = 0.074,8-12-44-15-4 = 0.074,8-12-44-43-4 = 0.176,8-12-44-28-4 = 0.074,8-12-47-11-8 = 0.5,8-12-9-10-49-8 = 0.176,8-40-44-51-43-4 = 0.5,8-10-49-19-37-7 = 0.5,8-45-20-11-8 = 0.176,5-35-56-14-5 = 0.118,5-18-54-34-13-5 = 0.529,5-32-55-14-5 = 0.118,5-38-50-16-5 = 0.059,5-38-41-57-4 = 0.059,5-35-38-5 = 0.882,5-25-58-51-47-4 = 0.176,5-56-55-32-5 = 0.882,5-18-54-13-14-5 = 0.176,5-54-34-13-14-5 = 0.294,5-18-25-9-58-14-5 = 0.294,5-25-9-58-46-4 = 0.529,5-34-51-44-43-4 = 0.176,8-49-10-46-47-8 = 0.324,4-28-15-4 = 0.868,4-17-57-4 = 0.941,4-17-15-28-4 = 0.059,4-51-46-43-4 = 0.147,4-45-20-40-23-8 = 0.5,4-41-50-16-5 = 0.941,4-45-20-11-8 = 0.324,8-27-53-8 = 1.0,,,,,,,,,
36,34,732.886,8.574,0.946,-1.279,37,38,4-22-4 = 1.0,8-33-8 = 0.326,8-39-8 = 0.326,5-42-5 = 1.0,7-31-52-29-19-8 = 0.5,7-48-24-30-7 = 1.0,7-21-26-36-7 = 0.5,7-52-29-37-7 = 0.5,7-31-21-26-36-7 = 0.5,8-33-23-39-8 = 0.343,8-33-39-8 = 0.33,8-12-47-11-8 = 0.73,8-12-9-10-49-8 = 0.27,8-40-44-51-43-4 = 0.343,8-10-49-19-37-7 = 0.5,8-45-20-11-8 = 0.27,8-45-20-44-43-5 = 0.074,8-45-20-40-23-8 = 0.222,5-18-54-34-13-5 = 0.226,5-35-38-5 = 1.0,5-25-58-51-47-4 = 0.039,5-56-55-32-5 = 1.0,5-18-54-13-14-5 = 0.3,5-18-25-58-44-4 = 0.248,5-54-34-13-14-5 = 0.474,5-18-25-9-58-14-5 = 0.226,5-25-9-58-46-4 = 0.487,5-34-51-44-43-4 = 0.3,8-49-10-46-47-8 = 0.23,4-28-15-4 = 0.983,4-17-57-4 = 1.0,4-51-46-43-4 = 0.283,4-44-51-28-4 = 0.017,4-45-20-40-23-8 = 0.435,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,8-9-51-44-15-4 = 0.017,,,,,,,,,,,,,
37,36,734.123,6.273,1.237,-2.301,39,40,4-22-4 = 1.0,8-33-8 = 0.091,8-39-8 = 0.091,5-42-5 = 1.0,7-36-26-7 = 0.318,7-31-52-29-19-8 = 0.091,7-21-52-29-7 = 0.227,7-48-24-30-7 = 1.0,7-21-54-14-5 = 0.091,7-31-52-54-5 = 0.136,7-21-26-36-7 = 0.364,7-52-29-37-7 = 0.227,8-12-46-13-5 = 0.045,7-31-29-19-11-8 = 0.136,7-31-21-26-36-7 = 0.318,8-33-39-8 = 0.909,8-12-47-11-8 = 0.864,8-12-9-10-49-8 = 0.091,8-10-49-19-37-7 = 0.773,7-31-52-29-14-5 = 0.318,8-45-20-40-23-8 = 0.409,5-18-54-34-13-5 = 0.364,5-35-38-5 = 1.0,5-56-55-32-5 = 1.0,5-18-54-13-14-5 = 0.409,5-18-25-58-44-4 = 0.227,5-25-9-58-46-4 = 0.591,5-34-51-44-43-4 = 0.636,8-49-10-46-47-8 = 0.136,4-28-15-4 = 1.0,4-17-57-4 = 1.0,4-51-46-43-4 = 0.227,5-25-9-58-13-14-5 = 0.182,4-45-20-40-23-8 = 0.591,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,5-9-51-44-43-4 = 0.136,,,,,,,,,,,,,
40,37,735.152,4.72,1.029,-1.553,41,42,4-22-4 = 1.0,8-33-8 = 0.1,8-39-8 = 0.12,5-42-5 = 1.0,7-36-26-7 = 0.44,7-31-52-29-19-8 = 0.08,7-21-52-29-5 = 0.44,7-48-24-30-7 = 1.0,7-52-29-46-4 = 0.12,7-31-52-54-5 = 0.08,7-31-21-26-36-7 = 0.56,8-33-23-39-8 = 0.02,8-33-39-8 = 0.86,8-33-40-11-8 = 0.02,8-12-47-11-8 = 0.96,8-12-9-10-49-8 = 0.04,8-10-49-19-37-7 = 0.92,8-45-20-11-8 = 0.02,7-31-52-29-14-5 = 0.28,8-45-20-40-23-8 = 0.14,5-18-54-34-13-5 = 0.26,5-35-38-5 = 1.0,5-56-55-32-5 = 1.0,5-18-54-13-14-5 = 0.58,5-18-25-58-44-4 = 0.16,5-25-9-58-46-4 = 0.7,5-34-51-44-43-4 = 0.72,5-34-13-51-43-4 = 0.02,8-49-10-46-47-8 = 0.04,4-28-15-4 = 1.0,4-17-57-4 = 1.0,4-51-46-43-4 = 0.14,5-54-29-37-7 = 0.08,5-25-9-58-13-14-5 = 0.14,4-45-20-40-23-8 = 0.84,4-41-50-16-5 = 1.0,8-27-53-8 = 1.0,5-9-51-44-43-4 = 0.12,,,,,,,,,,,,
